Submission_Type,Academic_Level,Primary_Language,Word_Count,Average_Sentence_Length,Grammar_Errors,Vocabulary_Richness,Passive_Voice_Ratio,Reading_Level,Editing_Time,Revision_Count,Typing_Speed,Plagiarism_Score,Citation_Count,Punctuation_Density,Sentence_Complexity,Font_Family,Submission_Hour,Errors_per_Word,Revisions_per_Word,Citations_per_Word,Is_AI_Assisted
Lab_Report,Postgraduate,Native,1552,16.9,8,0.62,0.11,11.85,129.05,16.0,24.7,3.02,0.0,0.08,2.01,Arial,18,0.005154639175257732,0.010309278350515464,0.0,0
Research_Paper,Undergraduate,Native,950,16.71,5,0.47,0.31,10.34,236.6,23.0,38.84,1.71,15.0,0.07,1.72,Helvetica,15,0.005263157894736842,0.024210526315789474,0.015789473684210527,0
Essay,Undergraduate,Non_Native,1103,22.1,1,0.76,0.38,14.35,4.72,4.0,0.0,0.41,0.0,0.08,2.35,Arial,17,0.0009066183136899365,0.003626473254759746,0.0,1
Essay,Postgraduate,Native,1189,20.0,7,0.61,0.26,10.93,,24.0,41.92,3.06,5.0,0.05,1.68,Times New Roman,5,0.005887300252312868,0.020185029436501262,0.004205214465937763,0
Essay,Undergraduate,Native,1035,22.67,2,0.8,0.33,15.3,16.82,2.0,0.0,2.78,1.0,0.09,2.9,Helvetica,8,0.001932367149758454,0.001932367149758454,0.000966183574879227,1
Lab_Report,Undergraduate,Non_Native,1454,15.71,6,0.63,0.33,11.12,256.26,26.0,33.4,22.68,,0.06,1.0,Helvetica,2,0.0041265474552957355,0.017881705639614855,,0
Lab_Report,Undergraduate,Native,694,5.0,4,0.49,0.15,9.0,,22.0,31.33,2.43,2.0,0.05,2.02,Helvetica,22,0.005763688760806916,0.03170028818443804,0.002881844380403458,0
Research_Paper,High_School,Non_Native,1980,15.23,14,0.43,0.25,9.49,,21.0,64.29,3.02,,0.08,2.36,Times New Roman,2,0.007070707070707071,0.010606060606060607,,0
Lab_Report,Postgraduate,Native,1312,20.41,10,0.63,0.09,14.21,189.32,21.0,56.66,17.57,5.0,0.09,1.63,Calibri,11,0.007621951219512195,0.01600609756097561,0.0038109756097560975,0
Essay,High_School,Native,300,20.35,4,0.6,0.19,10.85,97.6,,45.56,1.98,2.0,0.04,1.89,Helvetica,3,0.013333333333333334,,0.006666666666666667,0
Essay,Undergraduate,Native,757,24.12,6,0.53,0.19,7.72,277.62,22.0,59.14,12.54,6.0,0.01,1.91,Helvetica,4,0.007926023778071334,0.02906208718626156,0.007926023778071334,0
Essay,Postgraduate,Native,938,19.42,1,0.75,0.33,13.14,,1.0,1200.0,2.88,0.0,0.06,2.56,Arial,3,0.0010660980810234541,0.0010660980810234541,0.0,1
Essay,Undergraduate,Native,738,23.86,9,0.61,0.25,5.97,179.36,21.0,,12.78,1.0,0.07,1.0,Calibri,3,0.012195121951219513,0.028455284552845527,0.0013550135501355014,0
Essay,Undergraduate,Native,1041,15.67,8,0.63,0.07,10.94,110.86,,30.03,0.24,3.0,0.05,1.61,Arial,21,0.007684918347742555,,0.002881844380403458,0
Lab_Report,Undergraduate,Native,1092,10.72,7,0.5,0.12,8.1,186.72,28.0,30.58,1.3,7.0,0.08,1.99,Helvetica,15,0.00641025641025641,0.02564102564102564,0.00641025641025641,0
Essay,Postgraduate,Native,831,16.96,7,0.68,0.21,11.57,187.55,23.0,57.45,1.26,1.0,0.06,1.87,Arial,2,0.00842358604091456,0.027677496991576414,0.0012033694344163659,0
Lab_Report,High_School,Native,1705,16.7,62,0.51,0.2,9.85,1391.88,38.0,44.41,19.44,4.0,0.0,1.54,Times New Roman,12,0.03636363636363636,0.022287390029325515,0.002346041055718475,0
Lab_Report,High_School,Native,1870,19.63,10,0.58,0.18,9.62,141.69,22.0,61.86,10.52,0.0,0.06,2.01,Helvetica,14,0.0053475935828877,0.011764705882352941,0.0,0
Literature_Review,Undergraduate,Non_Native,1196,22.96,9,0.69,0.2,12.27,96.84,27.0,58.16,14.13,,0.02,1.28,Arial,18,0.007525083612040134,0.0225752508361204,,0
Research_Paper,Undergraduate,Native,1364,16.66,9,0.65,0.03,12.08,249.61,22.0,27.84,6.25,16.0,0.06,1.95,Helvetica,1,0.006598240469208211,0.016129032258064516,0.011730205278592375,0
Lab_Report,Postgraduate,Native,1605,22.06,11,0.73,0.23,5.0,68.66,,38.39,3.29,1.0,0.05,1.0,Arial,20,0.006853582554517134,,0.0006230529595015577,0
Essay,Undergraduate,Native,1463,23.76,8,0.63,0.08,12.39,134.8,25.0,33.62,17.06,7.0,0.05,3.57,Times New Roman,18,0.005468215994531784,0.017088174982911826,0.004784688995215311,0
Research_Paper,Undergraduate,Native,1294,12.21,2,0.67,0.09,9.07,181.77,19.0,29.75,17.7,16.0,0.04,2.38,Arial,12,0.0015455950540958269,0.014683153013910355,0.012364760432766615,0
Essay,Postgraduate,Native,1016,20.33,0,0.84,0.34,15.05,11.77,4.0,1200.0,2.12,2.0,0.09,2.47,Arial,3,0.0,0.003937007874015748,0.001968503937007874,1
Lab_Report,Postgraduate,Native,1580,14.63,8,0.55,0.09,12.29,134.3,33.0,18.0,3.92,3.0,0.04,2.09,Arial,6,0.005063291139240506,0.02088607594936709,0.0018987341772151898,0
Research_Paper,Postgraduate,Native,735,11.78,6,0.61,0.16,10.65,206.29,,26.4,0.13,18.0,0.01,1.48,Times New Roman,23,0.00816326530612245,,0.024489795918367346,0
Essay,High_School,Native,1308,19.3,5,0.46,0.08,8.56,183.43,,,9.26,,0.07,1.57,Helvetica,12,0.00382262996941896,,,0
Lab_Report,Undergraduate,Native,1125,20.99,0,0.79,0.34,14.79,3.53,1.0,1200.0,1.23,0.0,0.06,2.24,Times New Roman,9,0.0,0.0008888888888888889,0.0,1
